company_name,website,isProductOrService
The Laundry Basket IN,http://www.thelaundrybasket.in,Unclassified Website
MYITMANAGER.in,http://www.myitmanager.in,Product Website
Aritron Technologies Pvt,http://www.aritron.com,Service Website
Paylesser.com,http://www.paylesser.com,Unclassified Website
Pioneer Websystem Private,http://www.pioneerwebsystem.com,Service Website
Making You Live Pvt,http://www.makingyoulive.com,Service Website
KittyFlo,http://www.kittyflo.com,Unclassified Website
TouchCodes India Private Limited,http://www.touchcodes.in,Service Website
Stellant Communications Pvt,http://www.stellant.in,Service Website
TechChefs Software Pvt,http://www.techchefs.in,Domain not Available
Startupcatz,http://www.startupcatz.com,Product Website
Kenwaves,http://www.kenwaves.com,Product Website
Equity Venture Finance,http://www.equityvc.in,Service Website
Jewelove,http://www.jewelove.in,Product Website
Domis Tech Private Limited,http://www.domistech.com,Service Website
Kavaye InfoTech Services,http://www.kavaye.com,Service Website
Dreamzz InfoTech,http://www.dreamzzinfotech.com,Service Website
Thinklayer,http://www.thinklayer.com,Service Website
Aiddition,http://www.aiddition.com,Product Website
NoBounds Technology,http://www.noboundstech.com,Service Website
Zenoxx Knowledge Services Private Limited,http://www.zenoxxknowledge.com,Service Website
Fennec,http://www.fennecstudios.co.uk,Unclassified Website
WEBSAMG,http://www.websamg.com,Service Website
Udvavisk Technologies Pvt,http://www.udvavisk.com,Service Website
Quadratyx,http://www.quadratyx.com,Service Website
Florista India Pvt,http://www.florista.in,Product Website
Sresol,http://www.sresol.com,Service Website
Printrove Products Pvt,http://www.printrove.com,Product Website
DataSherpa.io,http://www.datasherpa.io,Service Website
BOSS Webtech Private Limited,http://www.bosswebtech.com,Product Website
HumInt Consulting Private Limited,http://www.humintindia.com,Domain not Available
GuruTAP,http://www.gurutap.in,Unclassified Website
Centum Technologies Private Limited,http://www.centumtech.com,Service Website
V360,http://www.vusic360.com,Product Website
KleverMIND,http://www.klevermind.com,Service Website
Switchy,http://www.switchy.in,Product Website
Iranshi Technology,http://www.iranshitechnology.com,Service Website
Meghana IT Services,http://www.meghanaits.com,Service Website
SquadLogic,http://www.squadlogic.in,Service Website
ViaSocket,http://www.viasocket.com,Product Website
Chakra Cloud Security Solutions,http://www.chakrasecure.com,Service Website
Websquare Technology,http://www.websquare.co,Product Website
Digit Software Solutions,http://www.digitsoftsol.com,Service Website
Ace Technosys,http://www.acetechnosys.com,Product Website
Polymart Private Limited,http://www.polymart.in,Product Website
Furtim Technologies Private Limited,http://www.furtimtechnologies.com,Service Website
infiniValue Pvt,http://www.infinivalue.com,Service Website
SARANI Retail And Marketing Private Limited,http://www.sarani.co.in,Unclassified Website
Intelligence7,http://www.intelligence7.in,Unclassified Website
Handyland,http://www.handyland.in,Unclassified Website
QDesk Data Solution & Services,http://www.qdeskdss.com,Service Website
Natsav,http://www.natsav.com,Unclassified Website
ArtWorksIT,http://www.artworksit.com,Unclassified Website
Ameyem Geo Solutions,http://www.ameyem.com,Unclassified Website
IoTracX,http://www.iotracx.com,Domain not Available
Symtotal,http://www.symtotal.com,Unclassified Website
ACUMEN JURIS,http://www.acumenjuris.com,Unclassified Website
i-Quall Infoweb,http://www.i-quall.com,Unclassified Website
Mask Venture,http://www.maskventures.co.in,Service Website
Vaaree,http://www.vaaree.com,Product Website
Drivedge Infosolutions,http://www.drivedge.com,Service Website
Marudhar Packaging,http://www.marudharpackaging.com,Product Website
Excellence4u Worldwide,http://www.excellence4u.in,Domain not Available
Proceso,http://www.proceso.in,Product Website
BIPL,http://www.bunkinfotech.in,Service Website
Theorax Dynamics Private Limited,http://www.theorax-dynamics.com,Service Website
Empiezo IT Solutions Pvt,http://www.empiezoitsolutions.com,Unclassified Website
GeeNee Fintech Pvt,http://www.geeneefintech.com,Service Website
Stavyah,http://www.stavyah.com,Service Website
Kumowiz,http://www.kumowiz.com,Unclassified Website
Astix,http://www.astix.in,Service Website
SecurBay Services Pvt,http://www.securbay.com,Service Website
BiggMart.com,http://www.biggmart.com,Product Website
BestBookBuddies,http://www.bestbookbuddies.com,Product Website
MonadPlus TechLabs Pvt,http://www.monadinfotech.com,Service Website
CogCons,http://www.cogcons.com,Service Website
Digitory Solutions Pvt,http://www.digitory.com,Product Website
247EasyTravel.com,http://www.247easytravel.com,Domain not Available
Cloud,http://www.cloud-technologies.in,Service Website
GenNxt,http://www.gennxt.co,Unclassified Website
ADesignArts,http://www.adesignarts.com,Product Website
Amethyst Online Consultants Pvt,http://www.amethystonline.in,Service Website
Synaps Web Tech Pvt,http://www.synapstechnologies.com,Unclassified Website
EZ Life Retail Pvt,http://www.ezlife.in,Product Website
Digital Net India,http://www.digitalnetindia.com,Service Website
jnaapti,http://www.jnaapti.com,Product Website
WebCuits,http://www.webcuits.com,Service Website
Mohesu,http://www.mohesu.com,Service Website
Zero Integration Private Limited,http://www.zerointegration.com,Product Website
Trans India,http://www.transindiatechnologies.com,Service Website
Techno Kaksha,http://www.technokaksha.com,Product Website
Baapstore,http://www.baapstore.com,Product Website
DATASMITH AI SOLUTIONS PVT,http://www.data-smith.ai,Service Website
System Solutions Birati Kolkata,http://www.systsol.com,Product Website
Acelin Creations,http://www.acelincreations.com,Service Website
Eminent Coders,http://www.eminentcoders.com,Service Website
HackerBook,http://www.hackerbook.in,Service Website
Praxon Informatics,http://www.praxoninfo.com,Service Website
ilandlo Services Pvt,http://www.ilandlo.com,Product Website
Electricguru,http://www.electricguru.com,Domain not Available
Growthzaa Digital Marketing Agency,http://www.growthzaa.com,Service Website
Funku Online Retail Services,http://www.forsonline.in,Product Website
Wrebb Digital Solutions,http://www.wrebb.com,Product Website
XenArmor,http://www.xenarmor.com,Product Website
WEBDIGITA,http://www.webdigita.com,Service Website
Cosmoneural,http://www.cosmoneural.com,Service Website
EcobSoft,http://www.ecobsoft.com,Product Website
Lumata Digital,http://www.lumatadigital.com,Service Website
Marva.AI & Innovation for GOOD,http://www.marva.ai,Service Website
Calotropis,http://www.calotropis.in,Unclassified Website
ARJH tech Labs,http://www.arjhtechlabs.com,Service Website
Indiabazaaronline,http://www.indiabazaaronline.com,Product Website
Hypebrand® Private Limited,http://www.hypebrands.in,Service Website
AgilizTech Software Services Private Limited,http://www.agiliztech.com,Product Website
Lifetrons,http://www.lifetrons.in,Product Website
Interface Matters,http://www.interface-matters.com,Domain not Available
Blastistic,http://www.blastistic.com,Domain not Available
Infomanav,http://www.infomanav.com,Service Website
Qwesys Digital Solutions,http://www.qwesys.com,Service Website
Website Redesign for Results,http://www.websales.co.in,Product Website
Hence Data Innovations Pvt,http://www.hencedata.com,Service Website
Spagylo Tech,http://www.spagylo.com,Service Website
Mandaliya,http://www.mandaliya.com,Service Website
Tricky Mind Solution,http://www.trickymindsolution.com,Domain not Available
Colossom IT Solutions,http://www.colossom.com,Unclassified Website
KATALYSST,http://www.katalysst.com,Product Website
Kadambaby,http://www.kadambaby.com,Product Website
EYE-D,http://www.eye-d.in,Product Website
Communifi,http://www.communifi.in,Unclassified Website
GARAGE 2 GHAR,http://www.garage2ghar.com,Domain not Available
OCIO Technology Private Limited,http://www.ociotechnology.com,Service Website
TSARA,http://www.tsara.in,Product Website
NITZZ Global IT Services Pvt,http://www.nitzz.in,Unclassified Website
Vydik Services Private Limited,http://www.vydik.com,Unclassified Website
Clinito.com,http://www.clinito.com,Domain not Available
Fabcouture.in,http://www.fabcouture.in,Service Website
SATHYA Technosoft PVT,http://www.sathyainfo.com,Product Website
Zenoholics,http://www.zenoholics.com,Service Website
Capaz Software Labs,http://www.capazlabs.com,Product Website
Vernier Pvt,http://www.vernier.tech,Unclassified Website
ThinkCore,http://www.thinkcoretech.com,Unclassified Website
NEO CODERZ,http://www.neocoderztechnologies.com,Service Website
Technology Next,http://www.technology-next.com,Service Website
Artemas Technologies Private Limited,http://www.artemasdigital.com,Service Website
BIG RECRUIT CONSULTING,http://www.bigrecruit.com,Unclassified Website
!Chaturlocal,http://www.chaturlocal.com,Product Website
GoCodeo,http://www.gocodeo.com,Unclassified Website
Framework Infotech,http://www.frameworkinfotech.com,Service Website
BizTranSys Solutions Pvt,http://www.biztransys.com,Unclassified Website
Crossobject Private Limited,http://www.crossobject.io,Service Website
deswe.com,http://www.deswe.com,Unclassified Website
DataSlexIndia,http://www.dataslexindia.com,Service Website
Covert Infolabs pvt,http://www.cybersecur.in,Service Website
Lawinzo,http://www.lawinzo.com,Service Website
SMTP Provider Pvt,http://www.smtpprovider.com,Service Website
Lycka Infolab Pvt,http://www.lyckainfolab.com,Service Website
ECSTATIC INFOTEL PRIVATE LIMITED,http://www.ecstaticinfotel.com,Service Website
Zyntegra,http://www.zyntegra.com,Service Website
Hazlo Solutions,http://www.hazlosolutions.in,Service Website
GetMeCab,http://www.getmecab.com,Service Website
CakeWAY.In,http://www.cakeway.in,Product Website
Pulpypapaya,http://www.pulpypapaya.com,Unclassified Website
TripMemo Adventure Travel Community,http://www.tripmemo.com,Domain not Available
Micro Green Housing Finance Pvt,http://www.microgreenhf.com,Product Website
Erobern Technology Solutions Pvt,http://www.eroberntechnology.com,Unclassified Website
Web Wonderz,http://www.web-wonderz.com,Service Website
Vmoksha,http://www.vmokshagroup.com,Product Website
Preksh Innovations Private Limited,http://www.preksh.com,Product Website
OnGrid,http://www.ongrid.in,Service Website
iTuple,http://www.ituple.com,Service Website
Blinglane,http://www.blinglane.com,Product Website
Digiholic,http://www.digiholic.io,Domain not Available
Beltalk Technologies Pvt,http://www.beltalk.net,Service Website
RichTech IT,http://www.richtechindia.com,Product Website
Tech Accord,http://www.techaccord.in,Unclassified Website
Titanium Tekzi,http://www.titaniumtekzi.com,Service Website
BrinkView,http://www.brinkview.com,Service Website
PiVisions Direct,http://www.pivisions.com,Product Website
Fortune Tech Private Limited,http://www.fortunetechsolutions.com,Service Website
Data Confiance Tele Communication Pvt,http://www.dataconfiance.com,Service Website
Igen Software Solutions,http://www.igensoftware.com,Service Website
Jiffystacks,http://www.jiffystacks.com,Unclassified Website
CIntelligence,http://www.cintelservices.com,Domain not Available
Rhyzome Studio,http://www.rhyzome.studio,Service Website
Mighty Curvets,http://www.mightycurvets.com,Unclassified Website
Walnut Medical Private Limited,http://www.walnutmedical.in,Product Website
Codoffer Infotech,http://www.codoffer.com,Unclassified Website
Simple Tree,http://www.simpletree.co.in,Domain not Available
Indicrypt,http://www.indicrypt.com,Service Website
ProTechGenie,http://www.protechgenie.com,Service Website
BeadsnFashion.com,http://www.beadsnfashion.com,Product Website
Mansaa,http://www.mansaa.io,Product Website
Sanicon IT Services Pvt,http://www.saniconservices.com,Product Website
Lynxx Digital,http://www.lynxxdigital.com,Service Website
ATM Softek,http://www.atmsoftek.in,Service Website
Quad SoftTech,http://www.quadsofttech.com,Product Website
Afford Solutions,http://www.afford-solutions.com,Unclassified Website
iGniTe Inclusive,http://www.igniteitc.com,Unclassified Website
Infinity Incorporation,http://www.infinityincorporation.com,Domain not Available
Rolling Nature,http://www.rollingnature.com,Product Website
Ipfy®,http://www.ipfy.com,Unclassified Website
GoldPalm InfoTech Private Limited,http://www.goldpalminfotech.com,Unclassified Website
YSM Media Labs Pvt,http://www.ysmlabs.com,Service Website
Hatchfactory,http://www.hatchfactory.in,Unclassified Website
Kreon Solutions,http://www.kreonsolutions.com,Service Website
Makwiz,http://www.makwiz.com,Service Website
Infizer,http://www.infizer.com,Product Website
Kokri Web Solutions,http://www.kokriweb.com,Unclassified Website
TimeForPet Online Pvt,http://www.timeforpet.com,Product Website
EtechFactory,http://www.etechfactory.com,Product Website
Swasthyakart,http://www.swasthyakart.com,Product Website
Oriflamme IT Solutions,http://www.oriflammeitsolutions.com,Service Website
MindTraits Innovations Pvt,http://www.mindtraits.com,Service Website
Apex52,http://www.apex52.com,Product Website
Orange IS Pvt,http://www.orangeonline.net,Unclassified Website
GAP Miners India Pvt,http://www.gapminers.com,Domain not Available
PinkBlueIndia.com Indian Kids Wear Clothes,http://www.pinkblueindia.com,Product Website
FusionBizCorp Solutions,http://www.fusionbizcorp.com,Service Website
FintechGie,http://www.fintechgie.com,Domain not Available
KaiGen India,http://www.kaigenit.com,Service Website
CREATISIDE IT,http://www.creatiside.com,Service Website
TecoBytes,http://www.tecobytes.com,Service Website
Anzy Careers,http://www.anzyglobal.com,Service Website
Thoughtlytics,http://www.thoughtlytics.com,Service Website
AinoSoft,http://www.ainosoft.com,Service Website
Elastic Tree,http://www.elastictree.com,Product Website
magnum telesystem,http://www.magnum.org.in,Product Website
Vedanshi System Pvt,http://www.vedanshis.com,Service Website
Leadows,http://www.leadows.com,Service Website
TYMK Group,http://www.tymkgroup.com,Product Website
FashionCrab.com,http://www.fashioncrab.com,Product Website
Runrate,http://www.runrate.ai,Product Website
Discount Kitna Milega,http://www.discountkitnamilega.com,Unclassified Website
Webbleu Technologies Pvt,http://www.webbleu.com,Domain not Available
Cheer Shopping,http://www.cheershopping.com,Product Website
True North Consultants,http://www.truenorthserv.com,Unclassified Website
Ardhan Labs,http://www.ardhanlabs.com,Unclassified Website
iCtrlBiz Consulting Pvt,http://www.ictrlbiz.com,Unclassified Website
rirev,http://www.rirev.com,Product Website
Cybercreek Solutions Pvt,http://www.cybercreeksolutions.com,Unclassified Website
iMuhandis Solutions Private Limited,http://www.imuhandis.com,Service Website
Bqurious,http://www.bqurious.com,Service Website
Intellytics Solutions,http://www.intellyticssolutions.com,Service Website
Elesys,http://www.elesyss.com,Unclassified Website
Mukt Ultra Electric & Automation,http://www.ultrajpr.in,Domain not Available
Go Beyond Travels,http://www.gobeyondtravels.com,Unclassified Website
Imagine World,http://www.imagineworld.co.in,Unclassified Website
Right Steps Analytics,http://www.rightsteps.io,Domain not Available
clickzippy.com,http://www.chemicals4construction.com,Product Website
Nonlinear,http://www.nonlinear.in,Product Website
SuperMinions AI,http://www.superminions.ai,Domain not Available
Arogyam Medisoft Solution Pvt,http://www.arogyammedisoft.com,Product Website
Nouveaucomm Networks Research Centre Private Limited,http://www.nouveaucomm.com,Product Website
Babjiinfo,http://www.babjiinfo.com,Product Website
PVNSOFT Solutions Private Limited,http://www.pvnsoft.com,Service Website
Bitsonline,http://www.bitsonlinetech.com,Product Website
greenojo,http://www.greenojo.com,Service Website
Tuff Geekers Web Solutions,http://www.tuffgeekers.com,Domain not Available
Expansive Solutions,http://www.expansivegroup.com,Service Website
Pro Up India,http://www.proup.in,Unclassified Website
TechSpark,http://www.techsparktechnologies.com,Service Website
Tebi,http://www.tebitechnology.com,Service Website
Team Moplet,http://www.moplet.com,Service Website
TALISMAN,http://www.talismanworld.com,Product Website
Devops Technologies Delhi,http://www.dev-ops.in,Unclassified Website
SkoolAdmission,http://www.skooladmission.com,Service Website
Dominance,http://www.dominancetech.com,Service Website
ADDYZ,http://www.addyz.net,Product Website
Mindtricks,http://www.mindtrickssoftware.com,Service Website
Machintelli,http://www.machintelli.com,Service Website
Medsherb,http://www.medsherb.com,Product Website
Inditek Pioneer Solutions Pvt,http://www.inditeks.com,Service Website
Healthy18,http://www.healthy18.com,Product Website
6Benches.in,http://www.6benches.in,Unclassified Website
InfyIoT Solutions,http://www.infyiot.com,Service Website
ZeusMission,http://www.zeusmission.com,Product Website
Trade Vectors,http://www.tradevectors.com,Service Website
OneGreenDiary Software Pvt,http://www.onegreendiary.com,Service Website
First Call BPM KPO LPO,http://www.firstcallteleservices.com,Service Website
uSiS Technologies Pvt,http://www.usistech.com,Domain not Available
Cx Sol,http://www.cxsol.co.in,Domain not Available
Appbirds,http://www.appbirds.co,Domain not Available
Dhindoraa,http://www.dhindoraa.com,Domain not Available
SEAGUL INFOTECH,http://www.seagulinfotech.com,Domain not Available
Juststickers,http://www.juststickers.in,Domain not Available
Whizzy Geeks Internet Services Private Limited,http://www.whizzygeeks.com,Domain not Available
envsecrets,http://www.envsecrets.com,Domain not Available
Phoenix TalentX Branding,http://www.phoenixtalentxbranding.com,Domain not Available
Thoughtbees,http://www.thoughtbees.com,Domain not Available
Ostrya Labs,http://www.ostryalabs.com,Domain not Available
Singularity,http://www.singularity.in,Domain not Available
Klar,http://www.klarsys.com,Domain not Available
Santronix,http://www.santronix.com,Domain not Available
Digifame Media,http://www.digifame.in,Domain not Available
Kalp,http://www.kalpsystems.com,Domain not Available
Aibi,http://www.aibitech.in,Domain not Available
HostPalace Web Solution Private Limited,http://www.host-palace.com,Domain not Available
Elvento Labs Private Limited,http://www.elvento.com,Domain not Available
Ozonet,http://www.ozonet.co.in,Domain not Available
Techl33t Infosystems Private Limited,http://www.techl33t.in,Domain not Available
Webtech Softwares Pvt,http://www.webtechsoftwares.com,Domain not Available
Ittanta Technologies Pvt,http://www.ittanta.com,Domain not Available
Turtlecap Technology,http://www.turtlecap.com,Domain not Available
Visa Lounge,http://www.visalounge.com,Domain not Available
Pravridh,http://www.pravridh.co.in,Domain not Available
Zaapr Digital,http://www.zaapr.com,Domain not Available
RoomStory.com,http://www.buildingblox.in,Domain not Available
iTechSolns &,http://www.itechsoln.com,Domain not Available
ThoughtNIdea Software Solutions,http://www.thoughtandidea.com,Domain not Available
tec.know Solutions Pvt,http://www.tecknow.in,Domain not Available
Adisap Systems Private Limited,http://www.adisap.com,Domain not Available
Adway iT,http://www.adwayit.com,Domain not Available
Unilarity,http://www.unilarity.in,Domain not Available
Alt Mart,http://www.thealtmart.in,Domain not Available
Jarma,http://www.jarma.co.in,Domain not Available
WeAreGadgets.com,http://www.wearegadgets.com,Domain not Available
Cloud Computing TechSolutions Pvt,http://www.cloudsociety.in,Domain not Available
Einstein Energy Labs,http://www.einstein-energy.com,Domain not Available
YASHWORLD PRODUCTS PVT,http://www.yashworldproducts.com,Domain not Available
3 Spin,http://www.3sp.in,Domain not Available
CYLANCE Technolabs Pvt,http://www.cylancetechnolabs.com,Domain not Available
Nalini Networks Pvt,http://www.nalininetworks.org,Domain not Available
IPROM GROUP,http://www.ipromgroup.com,Domain not Available
AddiT Labs,http://www.additlabs.com,Domain not Available
ScriptoCademy,http://www.scriptocademy.com,Domain not Available
Drona India Pvt,http://www.dronacraft.com,Domain not Available
Mind Solutions Technology,http://www.mindxpert.com,Domain not Available
Vaan Megam Networks Private Limited,http://www.vaanmegam.net,Domain not Available
Introtallent Pvt,http://www.introtallent.com,Domain not Available
Five Online Website Solutions Pvt,http://www.fiveonline.in,Domain not Available
Hexadots,http://www.hexadots.in,Domain not Available
HMI Tech,http://www.hmi-tech.net,Domain not Available
NinthCreationsMedia Pvt,http://www.ninthcreationsmedia.com,Domain not Available
